trade_uti,action,event,err_lei,cpty1_lei,cpty2_lei,asset_class,notional,notional_ccy,exec_ts,event_ts,report_ts,effective,maturity,terminated_on,valuation,valuation_ccy,valuation_ts,clearing_status,ccp_lei
OPENDQI-EXT-CLEAN-0001,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-BADLEI-0002,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,FAKE_LEI_X,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-BADLEI-0003,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABC,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-BADLEI-0004,NEWT,TRAD,INVALID_LEI,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-BADCCY-0005,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,eur,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-BADCCY-0006,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EU,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-NOCPTY1-0007,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-NOCPTY2-0008,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-NONOTCCY-0009,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-NOVALCCY-0010,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-NOVALTS-0011,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,,NCLR,
OPENDQI-EXT-ZERONOT-0012,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,0,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-NEGNOT-0013,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,-1000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,NCLR,
OPENDQI-EXT-VALAFTRPT-0014,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-06-15T08:00:00.000Z,NCLR,
OPENDQI-EXT-RPTBEFEXEC-0015,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-10T09:00:00.000Z,2026-02-10T09:00:00.000Z,2026-02-09T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-09T17:50:00.000Z,NCLR,
OPENDQI-EXT-CLRNOCCP-0016,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-02-01T18:00:00.000Z,2026-02-02,2031-02-02,,150.50,EUR,2026-02-01T17:50:00.000Z,CLRD,
OPENDQI-EXT-VALAFTTERM-0017,TERM,TERM,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-02-01T09:00:00.000Z,2026-02-01T09:00:00.000Z,2026-04-05T18:00:00.000Z,2026-02-02,2026-04-01,2026-04-01,150.50,EUR,2026-04-05T17:50:00.000Z,NCLR,
