trade_uti,action,event,err_lei,cpty1_lei,cpty2_lei,asset_class,notional,notional_ccy,exec_ts,event_ts,report_ts,effective,maturity,terminated_on,valuation,valuation_ccy,valuation_ts,im_posted,im_collected,vm_posted,vm_collected,portfolio_code,clearing_status,ccp_lei,coll_category,nature,trading_capacity,ma_type,valuation_type,intragroup
OPENDQI-MAE-CLEAN-0001,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-NEGIMP-0002,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,-1,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-NEGIMC-0003,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,-5,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-NEGVMP-0004,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,-1,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-NEGVMC-0005,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,-2,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-MARUNOMARGIN-0006,MARU,UPDT,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,,,,,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-FLCLNOIMP-0007,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,,110,10,10,PORT-001,NCLR,,FLCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-FLCLNOVMP-0008,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,,10,PORT-001,NCLR,,FLCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-FLCLNOPORT-0009,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,,NCLR,,FLCL,F,PRIN,ISDA,MTMA,false
OPENDQI-MAE-BADCCPLEI-0010,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,1000000,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,CLRD,BADCCPLEI,UNCL,F,PRIN,ISDA,MTMA,false
