trade_uti,action,event,err_lei,cpty1_lei,cpty2_lei,asset_class,notional,notional_ccy,exec_ts,report_ts,effective,maturity,terminated_on,valuation,valuation_ccy,valuation_ts,im_posted,im_collected,vm_posted,vm_collected,portfolio_code,clearing_status,coll_category,nature,ma_type,intragroup,confirmation_method
RMT-R001-NOCONF,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,500000000,EUR,2026-05-12T08:00:00Z,2026-05-12T12:00:00Z,2026-05-12,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,1000,1000,200,200,PORT-001,NCLR,FCOL,FC,ISDA,false,
RMT-R002-LATECONF,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,500000000,EUR,2026-05-10T08:00:00Z,2026-05-13T08:00:00Z,2026-05-10,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,1000,1000,200,200,PORT-002,NCLR,FCOL,FC,ISDA,false,electronic
RMT-R003-NOPORT,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,500000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,1000,1000,200,200,,NCLR,FCOL,FC,ISDA,false,electronic
RMT-R004-NOVAL,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,500000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,,,,1000,1000,200,200,PORT-004,NCLR,FCOL,FC,ISDA,false,electronic
RMT-R005-NOVM,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,500000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,1000,1000,,,PORT-005,NCLR,FCOL,FC,ISDA,false,electronic
RMT-R006-NOIM,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,10000000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,,,200,200,PORT-006,NCLR,FCOL,FC,ISDA,false,electronic
RMT-R007-NOCAT,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,500000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,1000,1000,200,200,PORT-007,NCLR,,FC,ISDA,false,electronic
RMT-R008-NFC,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,IR,2000000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,1000,1000,200,200,PORT-008,NCLR,FCOL,NFC,ISDA,false,electronic
RMT-R009-INTRA,NEWT,TRAD,LEI111111111111111111,LEI111111111111111111,LEI333333333333333333,CR,500000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,1000,1000,200,200,PORT-009,NCLR,FCOL,FC,ISDA,,electronic
RMT-R010-NOMA,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,500000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,1000,1000,200,200,PORT-010,NCLR,FCOL,FC,,false,electronic
RMT-R011-CLEAN,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,500000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,1200000,EUR,2026-05-13T07:00:00Z,1000,1000,200,200,PORT-011,NCLR,FCOL,FC,ISDA,false,electronic
RMT-R012-CLRD,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,CR,500000000,EUR,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,2026-05-13,2030-06-30,,,,,,,,,,CLRD,,FC,,,
