trade_uti,prior_uti,action,event,err_lei,cpty1_lei,cpty2_lei,asset_class,product_id,underlying_id,notional,notional_ccy,price,price_ccy,exec_ts,event_ts,report_ts,effective,maturity,terminated_on,valuation,valuation_ccy,valuation_ts,im_posted,im_collected,vm_posted,vm_collected,portfolio_code,clearing_status,ccp_lei,coll_category,nature,trading_capacity,ma_type,ma_version,valuation_type,intragroup,hedging,leg2_notional,leg2_ccy,leg1_freq,leg2_freq,mtm_change
OPENDQI-T2-CLEAN-0001,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-NOTVALCCY-0002,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,USD,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,USD,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,JPY,3M,3M,10.00
OPENDQI-T2-PRICEVALCCY-0003,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,USD,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,USD,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,JPY,3M,3M,10.00
OPENDQI-T2-LEG12SAMECCY-0004,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,EUR,3M,3M,10.00
OPENDQI-T2-SELFDEAL-0005,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR02,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-PRICENOCCY-0006,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-IMNOPORT-0007,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,,,,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-VMNOPORT-0008,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,,,10,10,,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,USD,3M,3M,10.00
OPENDQI-T2-LEG2NOCCY-0009,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,false,1100000,,3M,3M,10.00
OPENDQI-T2-HEDGINGFC-0010,,NEWT,TRAD,ABCDEFGHIJKLMNOPQR01,ABCDEFGHIJKLMNOPQR02,ABCDEFGHIJKLMNOPQR03,IR,SRACA,ID-001,1000000,EUR,100.25,EUR,2026-04-01T09:00:00.000Z,2026-04-01T09:00:00.000Z,2026-04-01T18:00:00.000Z,2026-04-02,2031-04-02,,150.50,EUR,2026-04-01T17:50:00.000Z,100,110,10,10,PORT-001,NCLR,,UNCL,F,PRIN,ISDA,2002,MTMA,false,true,1100000,USD,3M,3M,10.00
