trade_uti,prior_uti,action,event,err_lei,cpty1_lei,cpty2_lei,sft_type,ma_type,ma_version,loan_amount,loan_ccy,coll_amount,coll_ccy,haircut,reuse,rebate,lending_fee,exec_ts,event_ts,report_ts,effective,maturity,terminated_on,settlement,portfolio_code,coll_isin
SFTR-T2-CLEAN-001,,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,1000000,EUR,1050000,EUR,0.05,false,,,2026-05-12T09:00:00Z,2026-05-12T09:00:00Z,2026-05-12T18:00:00Z,2026-05-12,2026-08-12,,2026-05-13,PORT-1,DE0001135275
SFTR-T2-MAT-PLACEHOLDER-002,,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2026-05-12T09:00:00Z,2026-05-12T09:00:00Z,2026-05-12T18:00:00Z,2026-05-12,9999-12-31,,2026-05-13,PORT-2,DE0001135275
SFTR-T2-MAT-FARFUTURE-003,,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2026-05-12T09:00:00Z,2026-05-12T09:00:00Z,2026-05-12T18:00:00Z,2026-05-12,2200-01-01,,2026-05-13,PORT-3,DE0001135275
SFTR-T2-LOAN-MAGNITUDE-004,,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,2000000000000000,EUR,2200000000000000,EUR,0.05,false,,,2026-05-12T09:00:00Z,2026-05-12T09:00:00Z,2026-05-12T18:00:00Z,2026-05-12,2026-08-12,,2026-05-13,PORT-4,DE0001135275
SFTR-T2-EVT-BEFORE-EXEC-005,,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2026-05-13T09:00:00Z,2026-05-12T09:00:00Z,2026-05-13T18:00:00Z,2026-05-13,2026-08-13,,2026-05-14,PORT-5,DE0001135275
SFTR-T2-RPT-BEFORE-EXEC-006,,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2026-05-13T18:00:00Z,2026-05-13T18:00:00Z,2026-05-13T09:00:00Z,2026-05-13,2026-08-13,,2026-05-14,PORT-6,DE0001135275
SFTR-T2-MAT-IN-PAST-007,,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2024-01-15T09:00:00Z,2024-01-15T09:00:00Z,2024-01-15T18:00:00Z,2024-01-15,2025-01-15,,2024-01-16,PORT-7,DE0001135275
SFTR-T2-TERM-AFTER-MAT-008,,ETRM,ETRM,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2026-05-12T09:00:00Z,2026-07-15T09:00:00Z,2026-07-15T10:00:00Z,2026-05-12,2026-06-30,2026-07-15,2026-05-13,PORT-8,DE0001135275
SFTR-T2-MODI-WRONG-UTI-009,SFTR-T2-OTHER,MODI,MODI,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2026-05-12T09:00:00Z,2026-05-13T09:00:00Z,2026-05-13T18:00:00Z,2026-05-12,2026-08-12,,2026-05-13,PORT-9,DE0001135275
SFTR-T2-ACTION-EVT-MISMATCH-010,,NEWT,MODI,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2026-05-12T09:00:00Z,2026-05-12T09:00:00Z,2026-05-12T18:00:00Z,2026-05-12,2026-08-12,,2026-05-13,PORT-10,DE0001135275
SFTR-T2-LATE-SETTLE-011,,NEWT,TRAD,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2026-05-12T09:00:00Z,2026-05-12T09:00:00Z,2026-05-12T18:00:00Z,2026-05-12,2026-08-12,,2026-05-25,PORT-11,DE0001135275
SFTR-T2-UNKNOWN-ACTION-012,,OTHR,OTHR,LEI111111111111111111,LEI222222222222222222,LEI333333333333333333,REPO,GMRA,2011,500000,EUR,520000,EUR,0.05,false,,,2026-05-12T09:00:00Z,2026-05-12T09:00:00Z,2026-05-12T18:00:00Z,2026-05-12,2026-08-12,,2026-05-13,PORT-12,DE0001135275
